,Model,Sharpe,Return,Std
87,mw_1.0_lambda_10_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7035651280356723,1.3345805843371494,0.7834044982336617
85,mw_1.0_lambda_1_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7004956459856038,2.002565718622458,1.1776364869559988
55,mw_1.0_lambda_1_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,1.6827379583449318,0.015182876611887617,0.009022721889996964
115,mw_1.0_lambda_1_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,1.6793555070232442,0.07495843379357449,0.0446352386258242
84,mw_1.0_lambda_0.5_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.6734331299216674,1.7994401696271656,1.0752985210179247
149,mw_1.0_lambda_100_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.673223405472577,0.0776186451732786,0.0463886919818435
224,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Normal,1.6730857318732963,0.03041056589486586,0.01817633449112987
168,mw_0.8_lambda_0.5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,1.6588107527838627,0.09408023074790886,0.05671546955553596
22,mw_0.8_lambda_50_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.6568495166628547,0.035396931449400204,0.0213639990194734
114,mw_1.0_lambda_0.5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,1.6545794404190017,0.24602670650326197,0.14869440565571077
88,mw_1.0_lambda_50_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.6403381091366405,0.16617954518345077,0.10130810487047459
221,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Normal,1.639863350591847,0.03496433923476343,0.021321495612512082
140,mw_0.8_lambda_5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.6392509068330434,0.1287956860686615,0.07856984280550974
223,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Normal,1.6392373775765814,0.03650443550319705,0.02226915759886133
148,mw_1.0_lambda_50_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.6213867851763188,0.19526730564797626,0.12043227898070094
135,mw_0.6000000000000001_lambda_10_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.6091971673616583,0.09724124209036354,0.060428419874610124
162,mw_0.6000000000000001_lambda_0.5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,1.5912445804113458,0.09270632461075341,0.0582602610258621
174,mw_1.0_lambda_0.5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,1.5894736570947352,0.06166566913037344,0.03879628256506428
133,mw_0.6000000000000001_lambda_1_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.575519883133824,0.08199146642598978,0.052040896026588235
48,mw_0.8_lambda_0.5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,1.571166913471954,0.04595478789772301,0.029248826145512722
9,mw_0.4_lambda_10_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.5540294078453842,0.09197761814355408,0.059186536418946105
225,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Normal,1.5466113715443472,0.03922095360773674,0.025359281801072754
138,mw_0.8_lambda_0.5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.544823664970301,0.10964378721853213,0.07097495313203919
141,mw_0.8_lambda_10_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.543307975175157,0.07213810834378694,0.04674252288212251
227,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Normal,1.4948197074219312,0.03220923865504827,0.021547239774219015
8,mw_0.4_lambda_5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.4909317641589526,0.08175142418667497,0.05483243844683371
28,mw_1.0_lambda_50_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.4775150638489576,0.023215710169962142,0.01571267240381613
144,mw_1.0_lambda_0.5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.438817876406409,0.10039230708555866,0.06977415886456627
15,mw_0.6000000000000001_lambda_10_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.4362533462518354,0.09287227400474622,0.06466287737265387
54,mw_1.0_lambda_0.5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,1.3993742311364081,0.03055174924923286,0.021832436648788582
6,mw_0.4_lambda_0.5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.3920417820546414,0.08324147197801873,0.05979811313935926
146,mw_1.0_lambda_5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.3882915522435495,0.07347804427918012,0.05292695483195577
7,mw_0.4_lambda_1_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.3805252117121594,0.08387834725245191,0.060758287165523076
